date,station,fuel_type,effective_date,price
2021-03-05,บางจาก,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),03 Mar 05:00,25.75
2021-03-05,เชลล์,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),03 Mar 05:00,26.05
2021-03-06,ปตท,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),03 Mar 00:01,25.75
2021-03-06,บางจาก,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),03 Mar 05:00,25.75
2021-03-06,เชลล์,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),03 Mar 05:00,26.05
2021-03-07,ปตท,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),06 Mar 05:00,26.05
2021-03-07,บางจาก,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),06 Mar 05:00,26.05
2021-03-07,เชลล์,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),03 Mar 05:00,26.05
2021-03-08,ปตท,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),06 Mar 05:00,26.05
2021-03-08,บางจาก,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),06 Mar 05:00,26.05
2021-03-08,เชลล์,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),07 Mar 05:00,26.65
2021-03-09,ปตท,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),06 Mar 05:00,26.05
2021-03-09,บางจาก,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),06 Mar 05:00,26.05
2021-03-09,เชลล์,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),07 Mar 05:00,26.65
2021-03-10,ปตท,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),09 Mar 05:00,26.65
2021-03-10,บางจาก,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),09 Mar 05:00,26.65
2021-03-10,เชลล์,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),09 Mar 05:00,27.15
2021-03-11,ปตท,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),09 Mar 05:00,26.65
2021-03-11,บางจาก,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),09 Mar 05:00,26.65
2021-03-11,เชลล์,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),10 Mar 05:00,26.85
2021-03-12,ปตท,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),09 Mar 05:00,26.65
2021-03-12,บางจาก,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),09 Mar 05:00,26.65
2021-03-12,เชลล์,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),11 Mar 05:00,26.65
2021-03-13,ปตท,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),09 Mar 05:00,26.65
2021-03-13,บางจาก,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),09 Mar 05:00,26.65
2021-03-13,เชลล์,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),12 Mar 05:00,27.05
2021-03-14,ปตท,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),13 Mar 05:00,27.05
2021-03-14,บางจาก,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),13 Mar 05:00,27.05
2021-03-14,เชลล์,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),12 Mar 05:00,27.05
2021-03-15,ปตท,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),13 Mar 05:00,27.05
2021-03-15,บางจาก,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),13 Mar 05:00,27.05
2021-03-15,เชลล์,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),12 Mar 05:00,27.05
2021-03-16,ปตท,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),13 Mar 05:00,27.05
2021-03-16,บางจาก,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),13 Mar 05:00,27.05
2021-03-16,เชลล์,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),12 Mar 05:00,27.05
2021-03-17,ปตท,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),13 Mar 05:00,27.05
2021-03-17,บางจาก,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),13 Mar 05:00,27.05
2021-03-17,เชลล์,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),16 Mar 05:00,27.65
2021-03-18,ปตท,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),17 Mar 05:00,27.65
2021-03-18,บางจาก,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),17 Mar 05:00,27.65
2021-03-18,เชลล์,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),16 Mar 05:00,27.65
2021-03-19,ปตท,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),18 Mar 05:00,27.25
2021-03-19,บางจาก,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),18 Mar 05:00,27.25
2021-03-19,เชลล์,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),18 Mar 05:00,27.25
